huc8,Pop_group,Pop_ws_age_true,Pop_ws_age
03170009,10 to 14 years,0.0410740940843656,0.0410740940843656
03170009,15 to 17 years,0,0
03170009,18 and 19 years,0,0
03170009,20 years,0,0
03170009,21 years,0.0638930352423465,0.0638930352423465
03170009,22 to 24 years,0.0821481881687313,0.0821481881687313
03170009,25 to 29 years,0,0
03170009,30 to 34 years,0.0228189411579809,0.0228189411579809
03170009,35 to 39 years,0.0867119764003274,0.0867119764003274
03170009,40 to 44 years,0.0228189411579809,0.0228189411579809
03170009,45 to 49 years,0.100403341095116,0.100403341095116
03170009,5 to 9 years,0,0
03170009,50 to 54 years,0.209934258653424,0.209934258653424
03170009,55 to 59 years,0.0593292470107503,0.0593292470107503
03170009,60 and 61 years,0,0
03170009,62 to 64 years,0.219061835116617,0.219061835116617
03170009,65 and 66 years,0.0775843999371351,0.0775843999371351
03170009,67 to 69 years,0.0730206117055389,0.0730206117055389
03170009,70 to 74 years,0.0638930352423465,0.0638930352423465
03170009,75 to 79 years,0,0
03170009,80 to 84 years,0,0
03170009,85 years and over,0.0547654587791542,0.0547654587791542
03170009,Under 5 years,0,0
03180004,10 to 14 years,4734.16959059379,4734.16959059379
03180004,15 to 17 years,3085.18384776267,3085.18384776267
03180004,18 and 19 years,1280.26690875765,1280.26690875765
03180004,20 years,930.26439503376,930.26439503376
03180004,21 years,788.660496131372,788.660496131372
03180004,22 to 24 years,2243.49064181375,2243.49064181375
03180004,25 to 29 years,3656.16534583894,3656.16534583894
03180004,30 to 34 years,3862.43706452691,3862.43706452691
03180004,35 to 39 years,3762.59136705601,3762.59136705601
03180004,40 to 44 years,3983.3468330464,3983.3468330464
03180004,45 to 49 years,4148.76628471249,4148.76628471249
03180004,5 to 9 years,4610.5661123906,4610.5661123906
03180004,50 to 54 years,4551.42149767911,4551.42149767911
03180004,55 to 59 years,4569.72344931566,4569.72344931566
03180004,60 and 61 years,1712.41362514575,1712.41362514575
03180004,62 to 64 years,2732.44217722916,2732.44217722916
03180004,65 and 66 years,1641.04586875588,1641.04586875588
03180004,67 to 69 years,1912.09975054123,1912.09975054123
03180004,70 to 74 years,2490.08426472317,2490.08426472317
03180004,75 to 79 years,1688.0425718612,1688.0425718612
03180004,80 to 84 years,979.986123295274,979.986123295274
03180004,85 years and over,953.810250066927,953.810250066927
03180004,Under 5 years,4006.05359310014,4006.05359310014
03180005,10 to 14 years,1413.42310100351,1413.42310100351
03180005,15 to 17 years,982.931207514219,982.931207514219
03180005,18 and 19 years,458.514861145035,458.514861145035
03180005,20 years,278.554186840615,278.554186840615
03180005,21 years,206.801388217788,206.801388217788
03180005,22 to 24 years,573.76498755612,573.76498755612
03180005,25 to 29 years,1153.56506550052,1153.56506550052
03180005,30 to 34 years,1243.26607467546,1243.26607467546
03180005,35 to 39 years,1262.51824267313,1262.51824267313
03180005,40 to 44 years,1569.91460432906,1569.91460432906
03180005,45 to 49 years,1452.97805303756,1452.97805303756
03180005,5 to 9 years,1493.8185416851,1493.8185416851
03180005,50 to 54 years,1567.88947611492,1567.88947611492
03180005,55 to 59 years,1517.0007903237,1517.0007903237
03180005,60 and 61 years,600.823344789619,600.823344789619
03180005,62 to 64 years,947.301278919534,947.301278919534
03180005,65 and 66 years,508.523160295448,508.523160295448
03180005,67 to 69 years,805.320690152722,805.320690152722
03180005,70 to 74 years,902.656079939471,902.656079939471
03180005,75 to 79 years,658.227655468027,658.227655468027
03180005,80 to 84 years,429.609474297469,429.609474297469
03180005,85 years and over,295.363785511337,295.363785511337
03180005,Under 5 years,1211.3254542714,1211.3254542714
08030100,10 to 14 years,88.0480360335209,88.0480360335209
08030100,15 to 17 years,54.1861779535948,54.1861779535948
08030100,18 and 19 years,31.6729339198476,31.6729339198476
08030100,20 years,16.6952828791039,16.6952828791039
08030100,21 years,29.3413662865377,29.3413662865377
08030100,22 to 24 years,85.5862520726154,85.5862520726154
08030100,25 to 29 years,135.443126582659,135.443126582659
08030100,30 to 34 years,97.8339531904169,97.8339531904169
08030100,35 to 39 years,61.5431616463007,61.5431616463007
08030100,40 to 44 years,55.3765792401608,55.3765792401608
08030100,45 to 49 years,93.4473914995066,93.4473914995066
08030100,5 to 9 years,99.8700310265306,99.8700310265306
08030100,50 to 54 years,107.659061256193,107.659061256193
08030100,55 to 59 years,119.375517506388,119.375517506388
08030100,60 and 61 years,40.1784469905372,40.1784469905372
08030100,62 to 64 years,49.9058972817667,49.9058972817667
08030100,65 and 66 years,30.5415141810145,30.5415141810145
08030100,67 to 69 years,33.1120860709645,33.1120860709645
08030100,70 to 74 years,65.456781748564,65.456781748564
08030100,75 to 79 years,54.2448991996634,54.2448991996634
08030100,80 to 84 years,31.0988381832744,31.0988381832744
08030100,85 years and over,32.6240716712612,32.6240716712612
08030100,Under 5 years,28.8714095423733,28.8714095423733
08030208,10 to 14 years,0.787198806054479,0.787198806054479
08030208,15 to 17 years,0.585352958348203,0.585352958348203
08030208,18 and 19 years,0.201845847706277,0.201845847706277
08030208,20 years,0.181661262935649,0.181661262935649
08030208,21 years,0.13119980100908,0.13119980100908
08030208,22 to 24 years,0.403691695412554,0.403691695412554
08030208,25 to 29 years,1.05969070045795,1.05969070045795
08030208,30 to 34 years,0.777106513669166,0.777106513669166
08030208,35 to 39 years,0.555076081192261,0.555076081192261
08030208,40 to 44 years,0.726645051742596,0.726645051742596
08030208,45 to 49 years,1.56430531972364,1.56430531972364
08030208,5 to 9 years,0.918398607063559,0.918398607063559
08030208,50 to 54 years,1.36245947201737,1.36245947201737
